product_number,category_name,deparment_name,manufacturer_name,upc,sku,regular_price,sale_price,description
OR700LCDRM1U,Battery Backup (UPS),ACCESSORIES,CyberPower,649532715046,1006435,249.99,234.99,1030 joules of protection; 6 surge-protected outlets; data line protection; EMI/RFI noise filter; multifunction LCD panel; Automatic Voltage Regulation; GreenPower UPS bypass design; rack mountable
MC461LL/A,Laptop Chargers & Adapters,PHOTO/COMMODITIES,Apple,885909377794,1019306,79,77.99,"Compatible with Apple&#174; MacBook and MacBook Pro with a 13"" display; magnetic DC connector; LED indicator lights; travel-friendly design"
MDP2HDMI,Monitor & Video Cables,ACCESSORIES,StarTech.com,65030836906,1028613,17.99,14.99,Connects Mini DisplayPort to 19 pin HDMI Type A; 2 years warranty
DP2DVIMM10,Monitor & Video Cables,COMPUTERS,StarTech.com,65030832182,1049014,46.99,33.99,DisplayPort Male Digital Audio/Video - DVI-D Male Video - 10ft
920-002478,Wired & USB Keyboards,COMPUTERS,Logitech,97855065537,1053557,14.99,14.99,Compatible with PC USB interface Spill-resistant design Adjustable tilt legs Plug-and-play
CN622AM,Printer Ink,PHOTO/COMMODITIES,HP,887111103178,1053736,78.99,78.99,"Compatible with select HP Officejet Pro printers; cyan ink; yields up to 2,500 pages"
P516-001,Monitor & Video Cables,ACCESSORIES,Tripp Lite,37332123602,1067693,19.55,10.99,Compatible with Windows and Mac computers; HD D-Sub connectors; double shielded technology; molded; 1' length
920-002565,Keyboard & Mouse Combos,COMPUTERS,Logitech,97855065476,1083236,19.99,19.99,Compatible with PC USB interface Spill-resistant design Adjustable tilt legs Up to 1000 dpi resolution Slim profile Plug-and-play
GW2765HT,Gaming Monitors,COMPUTERS,BenQ,840046030742,1097389,279.99,279.99,"BENQ 27"" LED HD Monitor: 4 ms GTG response time; 20,000,000:1 DCR (Dynamic Contrast Ratio); 350 nits brightness; 2560 x 1440 maximum resolution; 178-degree horizontal and vertical viewing angles; VGA, DVI-DL, DisplayPort and HDMI inputs; 2 speakers"
LGS116,Network Switches,COMPUTERS,Linksys,745883598793,1099282,89.99,89.99,Wired; 10/100/1000 Ethernet; 16 ports; plug-and-play; QoS traffic prioritization
MRTR2LL/A,Mini PCs,COMPUTERS,Apple,190198755247,1107177,799.99,799.99,"New Mac mini. Now with eighth-generation 6-core and quad-core processors. Faster 2666MHz DDR4 memory. And blazing-fast all-flash storage. It's a huge update to Mac mini, ever"
GS108PE-300NAS,Network Switches,COMPUTERS,NETGEAR,606449103458,1126092,99.99,99.99,Wired; 10/100/1000 Ethernet; network monitoring; loop prevention; up to 2000 Mbps per port; plug-and-play easy setup
9197B001,Printer Ink,PHOTO/COMMODITIES,Canon,13803238068,1134008,19.99,19.99,"Compatible with select Canon printers; magenta ink; high-yield design; high-density, pigment-based ink; produces highlighter- and smudge-resistant prints"
9198B001,Printer Ink,PHOTO/COMMODITIES,Canon,13803238082,1134071,19.99,19.99,"Compatible with select Canon printers; yellow ink; high-yield design; high-density, pigment-based ink; produces highlighter- and smudge-resistant prints"
9183B001,Printer Ink,PHOTO/COMMODITIES,Canon,13803238013,1134099,36.99,36.99,Compatible with select Canon printers; black ink; high-yield design; high-density ink; pigment-based ink; produces text that is highlighter and smudge resistant
CH561WN#140,Printer Ink,PHOTO/COMMODITIES,HP,884962983607,1146635,20.99,20.99,"Compatible with select HP Deskjet, ENVY and OfficeJet printers; black ink; yields approximately 190 pages"
CH562WN#140,Printer Ink,PHOTO/COMMODITIES,HP,884962983614,1146671,28.99,28.99,"Compatible with HP Deskjet printer models 3000, 3050 and 3050A; tricolor ink cartridge; yields approximately 165 pages"
